cleaned_message,result
go jurong point crazy available bugis n great world la e buffet cine get amore wat,ham
ok lar joke wif u oni,ham
free entry 2 wkly comp win fa cup final tkts 21st may 2005 text fa 87121 receive entry questionstd txt ratetcs apply 08452810075over18s,spam
u dun say early hor u c already say,ham
nah dont think go usf live around though,ham
freemsg hey darling 3 weeks word back id like fun still tb ok xxx std chgs send å£150 rcv,spam
even brother like speak treat like aid patent,ham
per request melle melle oru minnaminunginte nurungu vettam set callertune callers press 9 copy friends callertune,ham
winner value network customer select receivea å£900 prize reward claim call 09061701461 claim code kl341 valid 12 hours,spam
mobile 11 months u r entitle update latest colour mobiles camera free call mobile update co free 08002986030,spam
im gon na home soon dont want talk stuff anymore tonight k ive cry enough today,ham
six chance win cash 100 20000 pound txt csh11 send 87575 cost 150pday 6days 16 tsandcs apply reply hl 4 info,spam
urgent 1 week free membership å£100000 prize jackpot txt word claim 81010 tc lccltd pobox 4403ldnw1a7rw18,spam
ive search right word thank breather promise wont take help grant fulfil promise wonderful bless time,ham
date sunday,ham
xxxmobilemovieclub use credit click wap link next txt message click xxxmobilemovieclubcomnqjkgighjjgcbl,spam
oh kim watch,ham
eh u remember 2 spell name yes v naughty make v wet,ham
fine thatåõs way u feel thatåõs way gota b,ham
england v macedonia dont miss goalsteam news txt ur national team 87077 eg england 87077 trywales scotland 4txtì¼120 poboxox36504w45wq 16,spam
seriously spell name,ham
iû÷m go try 2 months ha ha joke,ham
ì pay first lar da stock comin,ham
aft finish lunch go str lor ard 3 smth lor u finish ur lunch already,ham
ffffffffff alright way meet sooner,ham
force eat slice im really hungry tho suck mark get worry know im sick turn pizza lol,ham
lol always convince,ham
catch bus fry egg make tea eat moms leave dinner feel love,ham
im back amp pack car ill let know theres room,ham
ahhh work vaguely remember feel like lol,ham
wait thats still clear sure sarcastic thats x doesnt want live us,ham
yeah get 2 v apologetic n fall actin like spoil child get catch till 2 wont go badly cheer,ham
k tell anything,ham
fear faint housework quick cuppa,ham
thank subscription ringtone uk mobile charge å£5month please confirm reply yes reply charge,spam
